control_id,document_id,topic,control_type,owner,evidence_template,status
GOV-003-C008,GOV-003,实验室负责人职责,detective,项目负责人,FRM-013,approved
GOV-003-C009,GOV-003,鉴定人候选人员职责,corrective,项目负责人,FRM-013,approved
GOV-003-C010,GOV-003,研发人员边界,preventive,项目负责人,FRM-013,approved
GOV-003-C011,GOV-003,复核人员独立性,detective,项目负责人,FRM-013,approved
GOV-003-C012,GOV-003,授权签字人准备,corrective,项目负责人,FRM-013,approved
GOV-003-C013,GOV-003,供应商管理责任,preventive,项目负责人,FRM-013,approved
GOV-003-C014,GOV-003,对外沟通授权,detective,项目负责人,FRM-013,approved
GOV-003-C015,GOV-003,人员替补机制,corrective,项目负责人,FRM-013,approved
GOV-004-C001,GOV-004,变更分类,preventive,质量负责人,FRM-013,approved
GOV-004-C002,GOV-004,紧急变更,detective,质量负责人,FRM-013,approved
GOV-004-C003,GOV-004,法规变更,corrective,质量负责人,FRM-013,approved
GOV-004-C004,GOV-004,协议升级,preventive,质量负责人,FRM-013,approved
GOV-004-C005,GOV-004,节点客户端升级,detective,质量负责人,FRM-013,approved
GOV-004-C006,GOV-004,工具版本升级,corrective,质量负责人,FRM-013,approved
GOV-004-C007,GOV-004,算法规则变更,preventive,质量负责人,FRM-013,approved
GOV-004-C008,GOV-004,标签库变更,detective,质量负责人,FRM-013,approved
GOV-004-C009,GOV-004,数据模式变更,corrective,质量负责人,FRM-013,approved
GOV-004-C010,GOV-004,场所设备变更,preventive,质量负责人,FRM-013,approved
GOV-004-C011,GOV-004,人员授权变更,detective,质量负责人,FRM-013,approved
GOV-004-C012,GOV-004,供应商变更,corrective,质量负责人,FRM-013,approved
GOV-004-C013,GOV-004,影响分析,preventive,质量负责人,FRM-013,approved
GOV-004-C014,GOV-004,验证深度,detective,质量负责人,FRM-013,approved
GOV-004-C015,GOV-004,回退计划,corrective,质量负责人,FRM-013,approved
GOV-004-C016,GOV-004,历史案件影响,preventive,质量负责人,FRM-013,approved
GOV-004-C017,GOV-004,发布窗口,detective,质量负责人,FRM-013,approved
GOV-004-C018,GOV-004,变更关闭,corrective,质量负责人,FRM-013,approved
GOV-005-C001,GOV-005,决策登记,preventive,项目负责人,FRM-013,approved
GOV-005-C002,GOV-005,假设登记,detective,项目负责人,FRM-013,approved
GOV-005-C003,GOV-005,例外申请,corrective,项目负责人,FRM-013,approved
GOV-005-C004,GOV-005,监管待确认项,preventive,项目负责人,FRM-013,approved
GOV-005-C005,GOV-005,技术债务,detective,项目负责人,FRM-013,approved
GOV-005-C006,GOV-005,有效期,corrective,项目负责人,FRM-013,approved
GOV-005-C007,GOV-005,补偿控制,preventive,项目负责人,FRM-013,approved
GOV-005-C008,GOV-005,风险接受,detective,项目负责人,FRM-013,approved
GOV-005-C009,GOV-005,否决权,corrective,项目负责人,FRM-013,approved
GOV-005-C010,GOV-005,延期批准,preventive,项目负责人,FRM-013,approved
GOV-005-C011,GOV-005,关闭证据,detective,项目负责人,FRM-013,approved
GOV-005-C012,GOV-005,关联需求,corrective,项目负责人,FRM-013,approved
GOV-005-C013,GOV-005,外部依赖,preventive,项目负责人,FRM-013,approved
GOV-005-C014,GOV-005,升级阈值,detective,项目负责人,FRM-013,approved
GOV-005-C015,GOV-005,公开沟通边界,corrective,项目负责人,FRM-013,approved
GOV-006-C001,GOV-006,证据包完整率,preventive,质量负责人,FRM-013,approved
GOV-006-C002,GOV-006,独立复现通过率,detective,质量负责人,FRM-013,approved
GOV-006-C003,GOV-006,关键字段一致率,corrective,质量负责人,FRM-013,approved
GOV-006-C004,GOV-006,工具回归通过率,preventive,质量负责人,FRM-013,approved
GOV-006-C005,GOV-006,方法拒绝率,detective,质量负责人,FRM-013,approved
GOV-006-C006,GOV-006,越界措辞缺陷率,corrective,质量负责人,FRM-013,approved
GOV-006-C007,GOV-006,CAPA按期关闭率,preventive,质量负责人,FRM-013,approved
GOV-006-C008,GOV-006,内审问题复发率,detective,质量负责人,FRM-013,approved
GOV-006-C009,GOV-006,人员授权有效率,corrective,质量负责人,FRM-013,approved
GOV-006-C010,GOV-006,供应商合格率,preventive,质量负责人,FRM-013,approved
GOV-006-C011,GOV-006,数据源可用率,detective,质量负责人,FRM-013,approved
GOV-006-C012,GOV-006,备份恢复成功率,corrective,质量负责人,FRM-013,approved
GOV-006-C013,GOV-006,报告退回率,preventive,质量负责人,FRM-013,approved
GOV-006-C014,GOV-006,客户投诉率,detective,质量负责人,FRM-013,approved
GOV-006-C015,GOV-006,安全事件率,corrective,质量负责人,FRM-013,approved
GOV-006-C016,GOV-006,监管查新及时率,preventive,质量负责人,FRM-013,approved
GOV-007-C001,GOV-007,语义版本,preventive,配置管理员,FRM-013,approved
GOV-007-C002,GOV-007,生产基线,detective,配置管理员,FRM-013,approved
GOV-007-C003,GOV-007,候选版本,corrective,配置管理员,FRM-013,approved
GOV-007-C004,GOV-007,实验版本,preventive,配置管理员,FRM-013,approved
GOV-007-C005,GOV-007,发布清单,detective,配置管理员,FRM-013,approved
GOV-007-C006,GOV-007,构建可重现,corrective,配置管理员,FRM-013,approved
GOV-007-C007,GOV-007,依赖锁定,preventive,配置管理员,FRM-013,approved
GOV-007-C008,GOV-007,制品哈希,detective,配置管理员,FRM-013,approved
GOV-007-C009,GOV-007,签名与批准,corrective,配置管理员,FRM-013,approved
GOV-007-C010,GOV-007,回滚包,preventive,配置管理员,FRM-013,approved
GOV-007-C011,GOV-007,长期归档,detective,配置管理员,FRM-013,approved
GOV-007-C012,GOV-007,兼容性声明,corrective,配置管理员,FRM-013,approved
GOV-007-C013,GOV-007,弃用通知,preventive,配置管理员,FRM-013,approved
GOV-007-C014,GOV-007,历史案件复现,detective,配置管理员,FRM-013,approved
GOV-007-C015,GOV-007,紧急撤回,corrective,配置管理员,FRM-013,approved
REG-001-C001,REG-001,CMA行政许可性质,preventive,合规负责人,FRM-015,approved
REG-001-C002,REG-001,CNAS自愿认可性质,detective,合规负责人,FRM-015,approved
REG-001-C003,REG-001,司法鉴定机构登记,corrective,合规负责人,FRM-015,approved
REG-001-C004,REG-001,司法鉴定人登记,preventive,合规负责人,FRM-015,approved
REG-001-C005,REG-001,0301存在性鉴定,detective,合规负责人,FRM-015,approved
REG-001-C006,REG-001,0302真实性鉴定,corrective,合规负责人,FRM-015,approved
REG-001-C007,REG-001,0303功能性鉴定,preventive,合规负责人,FRM-015,approved
REG-001-C008,REG-001,0304相似性鉴定,detective,合规负责人,FRM-015,approved
REG-001-C009,REG-001,诉讼证据真实性审查,corrective,合规负责人,FRM-015,approved
REG-001-C010,REG-001,合法性审查,preventive,合规负责人,FRM-015,approved
REG-001-C011,REG-001,关联性审查,detective,合规负责人,FRM-015,approved
REG-001-C012,REG-001,技术报告与鉴定意见区别,corrective,合规负责人,FRM-015,approved
REG-001-C013,REG-001,检测报告与鉴定意见区别,preventive,合规负责人,FRM-015,approved
REG-001-C014,REG-001,机构许可与个人许可关系,detective,合规负责人,FRM-015,approved
REG-001-C015,REG-001,地方审批与国家认可关系,corrective,合规负责人,FRM-015,approved
REG-002-C001,REG-002,事项清单查询,preventive,合规负责人,FRM-015,approved
REG-002-C002,REG-002,能力项目库查询,detective,合规负责人,FRM-015,approved
REG-002-C003,REG-002,审批决定时点,corrective,合规负责人,FRM-015,approved
REG-002-C004,REG-002,标准现行性,preventive,合规负责人,FRM-015,approved
REG-002-C005,REG-002,对象项目参数表述,detective,合规负责人,FRM-015,approved
REG-002-C006,REG-002,限制范围,corrective,合规负责人,FRM-015,approved
REG-002-C007,REG-002,库外项目服务,preventive,合规负责人,FRM-015,approved
REG-002-C008,REG-002,CMA标志禁止使用,detective,合规负责人,FRM-015,approved
REG-002-C009,REG-002,旧证书过渡,corrective,合规负责人,FRM-015,approved
REG-002-C010,REG-002,动态调整建议,preventive,合规负责人,FRM-015,approved
REG-002-C011,REG-002,三家机构联合建议,detective,合规负责人,FRM-015,approved
REG-002-C012,REG-002,沙盒研究,corrective,合规负责人,FRM-015,approved
REG-002-C013,REG-002,申请材料冻结,preventive,合规负责人,FRM-015,approved
REG-002-C014,REG-002,评审范围一致性,detective,合规负责人,FRM-015,approved
REG-002-C015,REG-002,报告模板控制,corrective,合规负责人,FRM-015,approved
REG-002-C016,REG-002,宣传审查,preventive,合规负责人,FRM-015,approved
REG-002-C017,REG-002,证书到期管理,detective,合规负责人,FRM-015,approved
REG-003-C001,REG-003,法律地位,preventive,质量负责人,FRM-015,approved
REG-003-C002,REG-003,管理体系六个月运行,detective,质量负责人,FRM-015,approved
REG-003-C003,REG-003,完整内审,corrective,质量负责人,FRM-015,approved
REG-003-C004,REG-003,管理评审,preventive,质量负责人,FRM-015,approved
REG-003-C005,REG-003,全部体系要素记录,detective,质量负责人,FRM-015,approved
REG-003-C006,REG-003,能力验证规则,corrective,质量负责人,FRM-015,approved
REG-003-C007,REG-003,授权签字人资格,preventive,质量负责人,FRM-015,approved
REG-003-C008,REG-003,人员资源,detective,质量负责人,FRM-015,approved
REG-003-C009,REG-003,设备量值溯源,corrective,质量负责人,FRM-015,approved
REG-003-C010,REG-003,申请项目鉴定经历,preventive,质量负责人,FRM-015,approved
REG-003-C011,REG-003,受理要求,detective,质量负责人,FRM-015,approved
REG-003-C012,REG-003,能力范围表述,corrective,质量负责人,FRM-015,approved
REG-003-C013,REG-003,领域分类,preventive,质量负责人,FRM-015,approved
REG-003-C014,REG-003,仪器配置,detective,质量负责人,FRM-015,approved
REG-003-C015,REG-003,不符合整改,corrective,质量负责人,FRM-015,approved
REG-003-C016,REG-003,现场评审准备,preventive,质量负责人,FRM-015,approved
REG-003-C017,REG-003,认可后监督,detective,质量负责人,FRM-015,approved
REG-004-C001,REG-004,法人主体条件,preventive,合规负责人,FRM-015,approved
REG-004-C002,REG-004,固定住所,detective,合规负责人,FRM-015,approved
REG-004-C003,REG-004,资金证明,corrective,合规负责人,FRM-015,approved
REG-004-C004,REG-004,业务范围,preventive,合规负责人,FRM-015,approved
REG-004-C005,REG-004,每项业务人员配置,detective,合规负责人,FRM-015,approved
REG-004-C006,REG-004,司法鉴定人资格路径,corrective,合规负责人,FRM-015,approved
REG-004-C007,REG-004,机构质量体系,preventive,合规负责人,FRM-015,approved
REG-004-C008,REG-004,设备与实验室,detective,合规负责人,FRM-015,approved
REG-004-C009,REG-004,专家评审,corrective,合规负责人,FRM-015,approved
REG-004-C010,REG-004,许可证范围,preventive,合规负责人,FRM-015,approved
REG-004-C011,REG-004,执业证范围,detective,合规负责人,FRM-015,approved
REG-004-C012,REG-004,受理回避,corrective,合规负责人,FRM-015,approved
REG-004-C013,REG-004,鉴定意见签署,preventive,合规负责人,FRM-015,approved
REG-004-C014,REG-004,出庭作证,detective,合规负责人,FRM-015,approved
REG-004-C015,REG-004,延续变更注销,corrective,合规负责人,FRM-015,approved
REG-004-C016,REG-004,行政监督,preventive,合规负责人,FRM-015,approved
REG-004-C017,REG-004,未获许可前禁止事项,detective,合规负责人,FRM-015,approved
REG-005-C001,REG-005,区级初审与市级终审研究,preventive,合规负责人,FRM-015,approved
REG-005-C002,REG-005,固定场所,detective,合规负责人,FRM-015,approved
REG-005-C003,REG-005,案件受理预检室,corrective,合规负责人,FRM-015,approved
REG-005-C004,REG-005,样品保管区,preventive,合规负责人,FRM-015,approved
REG-005-C005,REG-005,防静电分析室,detective,合规负责人,FRM-015,approved
REG-005-C006,REG-005,档案室,corrective,合规负责人,FRM-015,approved
REG-005-C007,REG-005,UPS,preventive,合规负责人,FRM-015,approved
REG-005-C008,REG-005,防火防磁防静电存储,detective,合规负责人,FRM-015,approved
REG-005-C009,REG-005,视频监控,corrective,合规负责人,FRM-015,approved
REG-005-C010,REG-005,网络数据获取工具,preventive,合规负责人,FRM-015,approved
REG-005-C011,REG-005,远程服务器分析,detective,合规负责人,FRM-015,approved
REG-005-C012,REG-005,日志与数据库分析,corrective,合规负责人,FRM-015,approved
REG-005-C013,REG-005,可视化关联分析,preventive,合规负责人,FRM-015,approved
REG-005-C014,REG-005,设备所有权,detective,合规负责人,FRM-015,approved
REG-005-C015,REG-005,校准维护,corrective,合规负责人,FRM-015,approved
REG-005-C016,REG-005,专家现场演示,preventive,合规负责人,FRM-015,approved
REG-005-C017,REG-005,消防与物理安全,detective,合规负责人,FRM-015,approved
REG-005-C018,REG-005,筹建顺序书面确认,corrective,合规负责人,FRM-015,approved
REG-006-C001,REG-006,原始存储介质,preventive,合规负责人,FRM-015,approved
REG-006-C002,REG-006,在线提取,detective,合规负责人,FRM-015,approved
REG-006-C003,REG-006,完整性校验值,corrective,合规负责人,FRM-015,approved
REG-006-C004,REG-006,备份与封存,preventive,合规负责人,FRM-015,approved
REG-006-C005,REG-006,冻结与访问日志,detective,合规负责人,FRM-015,approved
REG-006-C006,REG-006,提取录像,corrective,合规负责人,FRM-015,approved
REG-006-C007,REG-006,二人操作场景,preventive,合规负责人,FRM-015,approved
REG-006-C008,REG-006,见证要求研究,detective,合规负责人,FRM-015,approved
REG-006-C009,REG-006,笔录与清单,corrective,合规负责人,FRM-015,approved
REG-006-C010,REG-006,文件格式记录,preventive,合规负责人,FRM-015,approved
REG-006-C011,REG-006,写保护,detective,合规负责人,FRM-015,approved
REG-006-C012,REG-006,拆封录像,corrective,合规负责人,FRM-015,approved
REG-006-C013,REG-006,检查方法过程结果,preventive,合规负责人,FRM-015,approved
REG-006-C014,REG-006,可重现性,detective,合规负责人,FRM-015,approved
REG-006-C015,REG-006,增加删除修改说明,corrective,合规负责人,FRM-015,approved
REG-006-C016,REG-006,网络身份综合判断,preventive,合规负责人,FRM-015,approved
REG-006-C017,REG-006,移送展示,detective,合规负责人,FRM-015,approved
REG-006-C018,REG-006,出庭质证准备,corrective,合规负责人,FRM-015,approved
REG-007-C001,REG-007,数据分类分级,preventive,安全负责人,FRM-015,approved
REG-007-C002,REG-007,处理目的,detective,安全负责人,FRM-015,approved
REG-007-C003,REG-007,最小必要,corrective,安全负责人,FRM-015,approved
REG-007-C004,REG-007,访问授权,preventive,安全负责人,FRM-015,approved
REG-007-C005,REG-007,敏感信息,detective,安全负责人,FRM-015,approved
REG-007-C006,REG-007,案件秘密,corrective,安全负责人,FRM-015,approved
REG-007-C007,REG-007,商业秘密,preventive,安全负责人,FRM-015,approved
REG-007-C008,REG-007,地址标签个人关联,detective,安全负责人,FRM-015,approved
REG-007-C009,REG-007,设备标识,corrective,安全负责人,FRM-015,approved
REG-007-C010,REG-007,交易所材料,preventive,安全负责人,FRM-015,approved
REG-007-C011,REG-007,跨境数据识别,detective,安全负责人,FRM-015,approved
REG-007-C012,REG-007,数据本地化策略,corrective,安全负责人,FRM-015,approved
REG-007-C013,REG-007,加密与密钥,preventive,安全负责人,FRM-015,approved
REG-007-C014,REG-007,脱敏与匿名化,detective,安全负责人,FRM-015,approved
REG-007-C015,REG-007,第三方共享,corrective,安全负责人,FRM-015,approved
REG-007-C016,REG-007,留存期限,preventive,安全负责人,FRM-015,approved
REG-007-C017,REG-007,销毁证明,detective,安全负责人,FRM-015,approved
REG-007-C018,REG-007,安全事件通知,corrective,安全负责人,FRM-015,approved
REG-007-C019,REG-007,数据主体请求研究,preventive,安全负责人,FRM-015,approved
REG-008-C001,REG-008,技术分析服务,preventive,合规负责人,FRM-015,approved
REG-008-C002,REG-008,司法技术辅助,detective,合规负责人,FRM-015,approved
REG-008-C003,REG-008,软件许可,corrective,合规负责人,FRM-015,approved
REG-008-C004,REG-008,数据服务,preventive,合规负责人,FRM-015,approved
REG-008-C005,REG-008,交易撮合禁止边界,detective,合规负责人,FRM-015,approved
REG-008-C006,REG-008,兑换结算边界,corrective,合规负责人,FRM-015,approved
REG-008-C007,REG-008,资金托管边界,preventive,合规负责人,FRM-015,approved
REG-008-C008,REG-008,投资建议边界,detective,合规负责人,FRM-015,approved
REG-008-C009,REG-008,代客操作边界,corrective,合规负责人,FRM-015,approved
REG-008-C010,REG-008,地址冻结建议边界,preventive,合规负责人,FRM-015,approved
REG-008-C011,REG-008,风险标签措辞,detective,合规负责人,FRM-015,approved
REG-008-C012,REG-008,海外服务审查,corrective,合规负责人,FRM-015,approved
REG-008-C013,REG-008,客户KYC,preventive,合规负责人,FRM-015,approved
REG-008-C014,REG-008,制裁与黑名单来源,detective,合规负责人,FRM-015,approved
REG-008-C015,REG-008,合同免责声明,corrective,合规负责人,FRM-015,approved
REG-008-C016,REG-008,营销材料审查,preventive,合规负责人,FRM-015,approved
REG-008-C017,REG-008,收费模式审查,detective,合规负责人,FRM-015,approved
REG-009-C001,REG-009,来源版本,preventive,合规负责人,FRM-015,approved
REG-009-C002,REG-009,条款定位,detective,合规负责人,FRM-015,approved
REG-009-C003,REG-009,适用性判断,corrective,合规负责人,FRM-015,approved
REG-009-C004,REG-009,当前控制,preventive,合规负责人,FRM-015,approved
REG-009-C005,REG-009,差距描述,detective,合规负责人,FRM-015,approved
REG-009-C006,REG-009,风险等级,corrective,合规负责人,FRM-015,approved
REG-009-C007,REG-009,纠正行动,preventive,合规负责人,FRM-015,approved
REG-009-C008,REG-009,责任人,detective,合规负责人,FRM-015,approved
REG-009-C009,REG-009,完成期限,corrective,合规负责人,FRM-015,approved
REG-009-C010,REG-009,依赖事项,preventive,合规负责人,FRM-015,approved
REG-009-C011,REG-009,验证证据,detective,合规负责人,FRM-015,approved
REG-009-C012,REG-009,残余风险,corrective,合规负责人,FRM-015,approved
REG-009-C013,REG-009,延期批准,preventive,合规负责人,FRM-015,approved
REG-009-C014,REG-009,关闭标准,detective,合规负责人,FRM-015,approved
REG-009-C015,REG-009,再打开条件,corrective,合规负责人,FRM-015,approved
REG-009-C016,REG-009,季度查新,preventive,合规负责人,FRM-015,approved
REG-010-C001,REG-010,问题清单,preventive,合规负责人,FRM-015,approved
REG-010-C002,REG-010,背景事实,detective,合规负责人,FRM-015,approved
REG-010-C003,REG-010,拟申请范围,corrective,合规负责人,FRM-015,approved
REG-010-C004,REG-010,不预设结论,preventive,合规负责人,FRM-015,approved
REG-010-C005,REG-010,书面渠道,detective,合规负责人,FRM-015,approved
REG-010-C006,REG-010,会议纪要,corrective,合规负责人,FRM-015,approved
REG-010-C007,REG-010,口头意见限制,preventive,合规负责人,FRM-015,approved
REG-010-C008,REG-010,答复适用范围,detective,合规负责人,FRM-015,approved
REG-010-C009,REG-010,答复有效期,corrective,合规负责人,FRM-015,approved
REG-010-C010,REG-010,参与人员,preventive,合规负责人,FRM-015,approved
REG-010-C011,REG-010,附件版本,detective,合规负责人,FRM-015,approved
REG-010-C012,REG-010,敏感信息控制,corrective,合规负责人,FRM-015,approved
REG-010-C013,REG-010,后续行动,preventive,合规负责人,FRM-015,approved
REG-010-C014,REG-010,冲突答复升级,detective,合规负责人,FRM-015,approved
REG-010-C015,REG-010,正式申报前复核,corrective,合规负责人,FRM-015,approved
REG-010-C016,REG-010,对外引用审批,preventive,合规负责人,FRM-015,approved
PRD-001-C001,PRD-001,证据级数据采集,preventive,产品负责人,FRM-010,approved
PRD-001-C002,PRD-001,离线可验证证据包,detective,产品负责人,FRM-010,approved
PRD-001-C003,PRD-001,独立复现,corrective,产品负责人,FRM-010,approved
PRD-001-C004,PRD-001,BTC首批支持,preventive,产品负责人,FRM-010,approved
PRD-001-C005,PRD-001,Ethereum首批支持,detective,产品负责人,FRM-010,approved
PRD-001-C006,PRD-001,TRON首批支持,corrective,产品负责人,FRM-010,approved
PRD-001-C007,PRD-001,0301技术准备,preventive,产品负责人,FRM-010,approved
PRD-001-C008,PRD-001,0302技术准备,detective,产品负责人,FRM-010,approved
PRD-001-C009,PRD-001,跨链候选关联,corrective,产品负责人,FRM-010,approved
PRD-001-C010,PRD-001,DeFi资产变化,preventive,产品负责人,FRM-010,approved
PRD-001-C011,PRD-001,标签证据分级,detective,产品负责人,FRM-010,approved
PRD-001-C012,PRD-001,拒绝结论,corrective,产品负责人,FRM-010,approved
PRD-001-C013,PRD-001,审计追踪,preventive,产品负责人,FRM-010,approved
PRD-001-C014,PRD-001,不做身份自动认定,detective,产品负责人,FRM-010,approved
PRD-001-C015,PRD-001,不做违法属性自动判断,corrective,产品负责人,FRM-010,approved
PRD-001-C016,PRD-001,不做交易撮合,preventive,产品负责人,FRM-010,approved
PRD-002-C001,PRD-002,案件受理员,preventive,产品负责人,FRM-010,approved
PRD-002-C002,PRD-002,采集人员,detective,产品负责人,FRM-010,approved
PRD-002-C003,PRD-002,链上分析员,corrective,产品负责人,FRM-010,approved
PRD-002-C004,PRD-002,方法负责人,preventive,产品负责人,FRM-010,approved
PRD-002-C005,PRD-002,独立复核人,detective,产品负责人,FRM-010,approved
PRD-002-C006,PRD-002,质量负责人,corrective,产品负责人,FRM-010,approved
PRD-002-C007,PRD-002,授权签字准备角色,preventive,产品负责人,FRM-010,approved
PRD-002-C008,PRD-002,系统管理员,detective,产品负责人,FRM-010,approved
PRD-002-C009,PRD-002,安全管理员,corrective,产品负责人,FRM-010,approved
PRD-002-C010,PRD-002,数据管理员,preventive,产品负责人,FRM-010,approved
PRD-002-C011,PRD-002,实验室负责人,detective,产品负责人,FRM-010,approved
PRD-002-C012,PRD-002,委托方只读用户,corrective,产品负责人,FRM-010,approved
PRD-002-C013,PRD-002,外部验证人,preventive,产品负责人,FRM-010,approved
PRD-002-C014,PRD-002,审计人员,detective,产品负责人,FRM-010,approved
PRD-002-C015,PRD-002,出庭说明人员,corrective,产品负责人,FRM-010,approved
PRD-003-C001,PRD-003,案件创建,preventive,产品负责人,FRM-010,approved
PRD-003-C002,PRD-003,授权登记,detective,产品负责人,FRM-010,approved
PRD-003-C003,PRD-003,技术问题定义,corrective,产品负责人,FRM-010,approved
PRD-003-C004,PRD-003,证据对象登记,preventive,产品负责人,FRM-010,approved
PRD-003-C005,PRD-003,采集会话,detective,产品负责人,FRM-010,approved
PRD-003-C006,PRD-003,节点身份记录,corrective,产品负责人,FRM-010,approved
PRD-003-C007,PRD-003,RPC原始响应保存,preventive,产品负责人,FRM-010,approved
PRD-003-C008,PRD-003,区块原始数据解析,detective,产品负责人,FRM-010,approved
PRD-003-C009,PRD-003,哈希计算,corrective,产品负责人,FRM-010,approved
PRD-003-C010,PRD-003,标准化交易,preventive,产品负责人,FRM-010,approved
PRD-003-C011,PRD-003,资产变化账本,detective,产品负责人,FRM-010,approved
PRD-003-C012,PRD-003,路径追踪,corrective,产品负责人,FRM-010,approved
PRD-003-C013,PRD-003,规则与参数管理,preventive,产品负责人,FRM-010,approved
PRD-003-C014,PRD-003,标签来源管理,detective,产品负责人,FRM-010,approved
PRD-003-C015,PRD-003,假设日志,corrective,产品负责人,FRM-010,approved
PRD-003-C016,PRD-003,复核工作流,preventive,产品负责人,FRM-010,approved
PRD-003-C017,PRD-003,报告生成,detective,产品负责人,FRM-010,approved
PRD-003-C018,PRD-003,离线验证,corrective,产品负责人,FRM-010,approved
PRD-003-C019,PRD-003,归档与销毁,preventive,产品负责人,FRM-010,approved
PRD-003-C020,PRD-003,历史版本复现,detective,产品负责人,FRM-010,approved
PRD-004-C001,PRD-004,线索状态,preventive,产品负责人,FRM-010,approved
PRD-004-C002,PRD-004,预审状态,detective,产品负责人,FRM-010,approved
PRD-004-C003,PRD-004,已受理,corrective,产品负责人,FRM-010,approved
PRD-004-C004,PRD-004,采集中,preventive,产品负责人,FRM-010,approved
PRD-004-C005,PRD-004,采集完成,detective,产品负责人,FRM-010,approved
PRD-004-C006,PRD-004,分析中,corrective,产品负责人,FRM-010,approved
PRD-004-C007,PRD-004,待方法复核,preventive,产品负责人,FRM-010,approved
PRD-004-C008,PRD-004,待质量复核,detective,产品负责人,FRM-010,approved
PRD-004-C009,PRD-004,待批准,corrective,产品负责人,FRM-010,approved
PRD-004-C010,PRD-004,已发布,preventive,产品负责人,FRM-010,approved
PRD-004-C011,PRD-004,已交付,detective,产品负责人,FRM-010,approved
PRD-004-C012,PRD-004,已归档,corrective,产品负责人,FRM-010,approved
PRD-004-C013,PRD-004,已暂停,preventive,产品负责人,FRM-010,approved
PRD-004-C014,PRD-004,已拒绝,detective,产品负责人,FRM-010,approved
PRD-004-C015,PRD-004,已撤回,corrective,产品负责人,FRM-010,approved
PRD-004-C016,PRD-004,已重开,preventive,产品负责人,FRM-010,approved
PRD-004-C017,PRD-004,已销毁,detective,产品负责人,FRM-010,approved
PRD-004-C018,PRD-004,状态迁移权限,corrective,产品负责人,FRM-010,approved
PRD-004-C019,PRD-004,状态冻结,preventive,产品负责人,FRM-010,approved
PRD-004-C020,PRD-004,超时升级,detective,产品负责人,FRM-010,approved
PRD-005-C001,PRD-005,案件清单,preventive,产品负责人,FRM-010,approved
PRD-005-C002,PRD-005,证据对象清单,detective,产品负责人,FRM-010,approved
PRD-005-C003,PRD-005,原始数据目录,corrective,产品负责人,FRM-010,approved
PRD-005-C004,PRD-005,标准化数据目录,preventive,产品负责人,FRM-010,approved
PRD-005-C005,PRD-005,派生结果目录,detective,产品负责人,FRM-010,approved
PRD-005-C006,PRD-005,工具与环境清单,corrective,产品负责人,FRM-010,approved
